Wl;Ww;T1;T2;T3;Performance
33.55;69.81;1030;841;827;B
65.32;30.53;705;817;778;Ma
40.75;64.64;813;698;630;Mo
50.39;68.77;843;775;757;Mo
53.77;42.01;777;775;849;B
56.81;64.91;783;736;738;Mo
56.85;27.3;95;947;976;B
43.09;79.43;709;743;703;B
21.6;28.67;524;523;514;B
44.79;47.04;780;900;858;Mo
50.95;26.62;750;818;865;Mo
54;41.96;866;800;812;B
36.78;15.69;583;478;421;B
6.96;61.32;416;491;423;B
6.62;68.54;382;400;349;B
77.6;50.81;751;835;890;Mo
74.01;24.64;1600;561;575;Ma
22.79;25.46;470;473;553;B
36.46;42.29;728;732;721;B
30.50;78.52;690;725;700;B
23.64;15.79;430;420;443;B
10.68;61.35;582;567;570;B
19.47;54.13;743;801;418;B
18.27;53.56;725;740;650;B
12.01;27.05;360;322;336;B
47.39;40.85;847;814;810;B
61.88;17.21;800;712;852;B
67.78;12.86;780;413;517;Ma
13.72;52.87;451;456;444;B
11.05;31.56;380;386;400;B
13.48;37.56;891;540;536;B
31.16;59.52;700;756;781;B
38.31;78.78;870;803;742;Ma
74.26;49.27;900;846;833;Ma
44.81;76.43;800;819;912;
70.31;30.5;833;577;900;Ma
40.31;73.25;855;842;640;Mo
