Wl;Tl;Angle;w;Temps
33.83;53.25;17.68;46.87;5.73
41.72;57.96;15.47;47.87;5.32
43.66;69.77;23.15;36.22;7.1
53.14;64.36;12.27;43.83;7.33
17;65;10;30.9;5.845
71.08;63.57;3.69;48.99;7.91
71.01;63.81;-9.3;36.86;6.325
67.82;74.52;-16.61;29.76;7.995
41.53;65.77;8.74;43.76;7.3
59.86;64.3;-1.58;26.56;4.845
45.62;53.26;16.59;26.88;7.06
69.44;76.4;-13.27;23.42;6.135
36.58;59.29;-12.15;29.66;6.225
36.38;60.79;-24.18;28.56;4.94
56.14;65.41;14.95;36.37;9.785
60.81;71.23;21.27;24.17;8.485
42.23;74.79;21.69;34.87;7.105
51.12;60.12;-5.95;28.99;6.57
30.29;58.15;20.86;29.3;6.29
58.49;50.63;20.68;34.09;6.445
32.92;63.04;-8.98;47.13;5.09
62.32;72.18;-20.5;44.42;6.025
39.74;77.85;15.78;45.19;7.075
63.80;62.32;7.82;44.70;6.985
63.22;39.55;54.32;2.96;6.1
34.02;51.79;7.34;42.54;6.225
39.68;76.21;16.92;42.26;7
36.14;53.97;-23.62;35.9;5.505
56.68;74.99;17.62;37.32;9.39
42.85;72.69;-5;48.56;5.965
36.08;40.89;51.62;-0.73;7.545
38.49;75.06;-6.77;40.39;5.45
38.45;66.75;24.39;34.59;6.7
38.23;60.74;-18.31;45.93;5.825
53.47;79.18;0.87;32.64;9.35
66.27;53.78;7.93;29.59;6.24
61.71 ;66.42;13.69;38.25;10.11
57.78;72.42;-18.36;34.06;5.43
71.82;71.13;-7.55;46.83;6.955
64.58;64.14;24.62;38.41;8.695
60.78;53.97;18.74;21.44;9.79
53.39;58.67;0.54;36.99;5.73
72.64;66.99;-5.12;28.32;6.00
41.17;53.87;-24.32;23.59;5.165
60.77;60.58;18.67;34.08;7.5
45.66;78.73;7.78;30.37;7.59
34.87;73.99;-0.17;41.07;6.365
36.33;75.37;-6.95;28.72;5.78
31.45;79.96;19.46;27.83;5.665
49.85;58.26;-7.03;31.02;5.245
41.40;54.86;14.34;46.54;7.83
