wl;t1(1/100 s);t2(1/100 s);t3(1/100 s);mention
43;740;780;779;B
85;730;798;724;Ma
72;755;683;983;Ma
61;990;976;963;B
37;771;763;775;B
68;782;1010;685;Ma
41;715;731;626;B
8;334;356;352;B
63;940;939;994;Mo
12;478;498;502;B
29;650;679;654;B
43;734;819;856;Mo
33;698;700;640;Mo
49;729;750;648;Mo
52;774;825;754;Mo
21;669;638;626;B
37;748;669;775;B
68;746;1010;750;Ma
63;972;920;102;Mo
25;616;630;629;Mo
88;776;777;779;Ma
80;779;789;867;Ma
85;740;798;724;Ma
17;492;534;518;B
25;607;634;603;Mo
15;559;537;533;B
76;710;773;1025;Ma
